,latitud,longitude
17,2.4494545,-76.6269796
18,2.4494231,-76.6269756
19,2.4493666,-76.6269073
20,2.4493663,-76.6268878
21,2.4493705,-76.6268905
22,2.4493788,-76.6268981
23,2.4493828,-76.6269026
24,2.4493831,-76.6269031
25,2.4493825,-76.6269033
26,2.4493955,-76.6269605
27,2.4497268,-76.626825
28,2.4501543,-76.626585
29,2.4501533,-76.6259793
30,2.4498935,-76.6253315
31,2.4499083,-76.6252643
32,2.4499338,-76.6252716
33,2.449941,-76.6252778
34,2.449953,-76.625281
35,2.4497563,-76.624899
36,2.4493045,-76.6241885
37,2.4488546,-76.6234801
38,2.4483693,-76.6226966
39,2.4481668,-76.6221771
40,2.4483321,-76.6223953
41,2.4487278,-76.62313
42,2.4491096,-76.6238091
43,2.4495306,-76.6244995
44,2.4497811,-76.6248991
45,2.4497855,-76.6248765
46,2.4498094,-76.6248513
47,2.4498136,-76.624856
48,2.4498206,-76.6248541
49,2.449871,-76.62491
50,2.4503391,-76.6256655
51,2.4504915,-76.626489
52,2.4504776,-76.6273978
53,2.450746,-76.6282336
54,2.4511803,-76.6290295
55,2.4515473,-76.6296943
56,2.4520531,-76.630675
57,2.4523848,-76.6312958
58,2.4522308,-76.6312208
59,2.4518043,-76.6303871
60,2.4515073,-76.6298016
61,2.451182,-76.6291246
62,2.4507865,-76.6284858
63,2.4504701,-76.6278101
64,2.4503665,-76.6270751
65,2.4503396,-76.626336
66,2.4501715,-76.6256361
67,2.450066,-76.6253805
68,2.4500655,-76.625375
69,2.4500673,-76.625372
70,2.4498705,-76.6250293
71,2.4494381,-76.624348
72,2.4490731,-76.6238116
73,2.4486535,-76.6231505
74,2.4482936,-76.6224864
75,2.448193,-76.622272
76,2.4482261,-76.622226
77,2.448272,-76.6222596
78,2.4486325,-76.6229243
79,2.4489286,-76.623467
80,2.4493583,-76.624167
81,2.4496193,-76.6245785
82,2.4496301,-76.6245983
83,2.4496138,-76.6245936
84,2.4496131,-76.624591
85,2.4497276,-76.6248213
86,2.4500663,-76.6253566
87,2.4503358,-76.6258678
88,2.4504145,-76.6266436
89,2.45044,-76.6274826
90,2.4507011,-76.6282246
91,2.4510483,-76.6287986
92,2.4513918,-76.6294264
93,2.4516561,-76.6299418
94,2.4520216,-76.6306038
95,2.45239,-76.6312613
96,2.4522555,-76.6312233
97,2.451854,-76.6304903
98,2.4515746,-76.6298996
99,2.451209,-76.629177
100,2.4509225,-76.6286831
101,2.4505518,-76.6279628
102,2.450421,-76.6269826
103,2.4503933,-76.6261778
104,2.4501663,-76.6256043
105,2.4500641,-76.625425
106,2.4496981,-76.6247861
107,2.4492981,-76.6241773
108,2.448603,-76.6230436
109,2.448229,-76.6223288
110,2.4482321,-76.6222231
111,2.4485151,-76.6227508
112,2.4488401,-76.6233448
113,2.4492331,-76.6239938
114,2.4496319,-76.6246318
115,2.449806,-76.6248605
116,2.4498033,-76.6248568
117,2.4498025,-76.6248466
118,2.4497926,-76.6248466
119,2.4498693,-76.6249866
120,2.450218,-76.6255571
121,2.4504521,-76.6263408
122,2.4504508,-76.6271926
123,2.4506331,-76.6280628
124,2.4510408,-76.6287661
125,2.4514605,-76.6295155
126,2.4517513,-76.6300555
127,2.4521196,-76.630691
128,2.4524376,-76.6313031
129,2.4521901,-76.6311011
130,2.4518736,-76.6304726
131,2.4516858,-76.6301166
132,2.4513353,-76.629435
133,2.451083,-76.6289513
134,2.4507295,-76.6282905
135,2.4505388,-76.6278548
136,2.450452,-76.627196
137,2.4504255,-76.626346
138,2.4502195,-76.6256831
139,2.4501366,-76.625525
140,2.4500726,-76.6254013
141,2.449789,-76.624849
142,2.4493143,-76.6242001
143,2.4489178,-76.6235786
144,2.4485166,-76.6229661
145,2.4481681,-76.6223633
146,2.4481391,-76.6222491
147,2.4483245,-76.6224716
148,2.4486926,-76.6231256
149,2.4490421,-76.6237075
150,2.449446,-76.624335
151,2.4496588,-76.6246656
152,2.4496413,-76.624655
153,2.4496413,-76.6246606
154,2.4496431,-76.6246611
155,2.4497573,-76.6248508
156,2.4501051,-76.625407
157,2.4504051,-76.6260996
158,2.4504581,-76.626741
159,2.4505898,-76.6279506
160,2.4509636,-76.62861
161,2.4513276,-76.6292971
162,2.4516588,-76.6299131
163,2.4520323,-76.6305891
164,2.4523736,-76.6312348
165,2.4524376,-76.6314398
166,2.4522868,-76.631278
167,2.451972,-76.6306008
168,2.4517068,-76.6300938
169,2.4513446,-76.6294386
170,2.4511356,-76.629103
171,2.4508213,-76.6285416
172,2.4505265,-76.6279805
173,2.4503208,-76.6272178
174,2.4503265,-76.6263466
175,2.4501656,-76.625744
176,2.44991,-76.6252485
177,2.4495263,-76.6245409
178,2.4491818,-76.6240275
179,2.4488033,-76.6234176
180,2.4483701,-76.6226823
181,2.4481815,-76.6221946
182,2.4484426,-76.6225883
183,2.448778,-76.6232161
184,2.4491583,-76.6238596
185,2.449529,-76.6244191
186,2.4497408,-76.6247393
187,2.4497418,-76.6247421
188,2.449737,-76.6247498
189,2.4497316,-76.6247515
190,2.4499426,-76.6251198
191,2.4503103,-76.6257683
192,2.4504603,-76.6265028
193,2.4504956,-76.6274818
194,2.4507421,-76.6282173
195,2.4511835,-76.6290578
196,2.4515391,-76.6297636
197,2.4519091,-76.630428
198,2.4522985,-76.6310975
199,2.452294,-76.6313441
200,2.4519438,-76.6306508
201,2.4517023,-76.6301863
202,2.4513236,-76.6294558
203,2.450979,-76.6288253
204,2.450581,-76.6280241
205,2.4504063,-76.6272296
206,2.4503965,-76.6264573
207,2.4502026,-76.625647
208,2.4499473,-76.6252015
209,2.4495839,-76.624617
210,2.4491876,-76.6240206
211,2.4487598,-76.6233028
212,2.4483785,-76.622713
213,2.4481651,-76.622198
214,2.44848,-76.6226855
215,2.4487871,-76.6232535
216,2.4492111,-76.6239625
217,2.449474,-76.6243701
218,2.4496731,-76.6246943
219,2.4500455,-76.6253073
220,2.4503376,-76.6258676
221,2.4504275,-76.626599
222,2.4504636,-76.6274706
223,2.4507655,-76.6283181
224,2.451195,-76.6290561
225,2.451548,-76.6297318
226,2.4519093,-76.6303923
227,2.4522163,-76.6309193
228,2.4523543,-76.6311583
229,2.4524125,-76.6312839
230,2.4524306,-76.6314013
231,2.4517574,-76.6301958
232,2.4514336,-76.6295268
233,2.4511123,-76.628924
234,2.4507751,-76.628297
235,2.4505613,-76.627854
236,2.4504553,-76.6270475
237,2.450073,-76.6254428
238,2.4500736,-76.6254331
239,2.4500798,-76.6254258
240,2.4500851,-76.625416
241,2.450087,-76.625407
242,2.4500441,-76.6253376
243,2.4496778,-76.6247378
244,2.4491923,-76.6240373
245,2.4487373,-76.6232701
246,2.4483143,-76.6225763
247,2.4482075,-76.6221745
248,2.448548,-76.6227966
249,2.4488738,-76.6233956
250,2.4493121,-76.6240868
251,2.4496866,-76.6246618
252,2.4497561,-76.6248293
253,2.4497545,-76.6248298
254,2.4497491,-76.6248343
255,2.4497446,-76.6248405
256,2.4497465,-76.6248486
257,2.4500415,-76.6253125
258,2.450355,-76.6258945
259,2.4504466,-76.6266561
260,2.4504791,-76.6275443
261,2.450721,-76.6282396
262,2.4511088,-76.6289556
263,2.4514806,-76.6296083
264,2.4518108,-76.6302311
265,2.452168,-76.6308601
266,2.452426,-76.6313843
267,2.4523763,-76.631403
268,2.4521418,-76.6309543
269,2.4518041,-76.6302893
270,2.4514568,-76.6296648
271,2.4510841,-76.6289928
272,2.450732,-76.6284045
273,2.4504326,-76.6276806
274,2.4503646,-76.6269323
275,2.4502795,-76.6266823
276,2.4495106,-76.6269685
277,2.4494831,-76.6269721
278,2.4494841,-76.6269671
